id,user_id,categories,tags,private,author,title,body,links
1,6,"[""music"",""programming""]","[""ugly""]",false,Ase Whitwam,Big Fella,Grumble's struts debility's dirt diphthong generates nowadays's imaged flagrant masons carcasses gesticulating connecter zoology's diary's uphills Publishers circumstantial millionaires crowning waylay chase's wretch budge bourgeoisie severance stadium's negotiable quarantine's grimy factually vigorous,"[""http://""techcrunch.com""]"
2,2,"[""music"",""programming""]","[""ugly""]",false,Merilee McCarney,Mandingo,Downgraded scholar time's press's proxy superstition stabs adorning abscessed kindled fig Twenties shod brocades Idealist's despots thigh's suitability's state's impulsive parole's horror widespread sizzling vagaries lacerated bulletined typist,"[""http://yahoo.com""]"
3,835,"[""music"",""programming""]","[""ugly""]",false,Christyna Yitzhakof,Kolka Cool,Enticed dial's estrangement reputes blanching snuff's gamuts dames transgressions sperm's dinnering tyrannizing dieseling caddie's nationalities Coldness cuffed lump hoofing pupil's mortally partridge's highlight,"[""http://""techcrunch.com""]"
4,4,,"[""ugly""]",false,Fraser Conniam,Charlie Chan's Courage,Therein antler's structural emphatic surreptitious pummels meres ashtray's Lamer deleting dodge devise thronging gargoyles fragmentary's icicles madam's economy admonish Crafting phlegm's rehearsed icy thoroughest consolation reign extincts pieces aftermaths,
5,73,"[""music""]","[""ugly""]",true,Letisha Scates,Portrait in Black,Suck saliva virgin twig's darken flush waylaying remembrance's lack heckle's logically interments weeping storey's listen mine spouse Panted intoxicated detachment's glamourize,
6,237,"[""music"",""programming""]",,false,Ranee Blackbrough,Model Shop,Management period conclusive jesters microphones heartbeats handshake catapults pursuit strolled brains landslide's devolve bloodshed bearing's orators Sowed remain minions fluster systematic junior's workbook zincs swivelling auctioneer oscillation adjustment's raincoats demised figment Dupes incubation dictators grueling commando juices describes impasse's slim,
7,97,"[""music"",""programming""]","[""ugly""]",true,Wendi Kidwell,Paranoia Agent,Exposes replenishes mulching unions deeps put good's interlude's deadening thursday's reaper sisterhood raved mixer percolated especial reciprocate Worsted north's leisure's wolfs solidifies bobcat's melodious downing coarsening disembarkation killing's anaesthetics heaps picture's restraining stranded grand guy's Relayed calmness's scowl's saxophones sidelining edible explanation's toffy's objectionable weeds registries suspend,"[""http://""techcrunch.com""]"
8,13,"[""music"",""programming""]","[""ugly""]",true,Brady Vasilchenko,Deadbolt,Bush's financially minutest monks strip trapezoid's pamphlets individualist bag delegates roommate's savoriest rectors Nursing clutch catchiest sitter's liquidation jaywalker's raucous schoolchildren opium's,
9,62,"[""music"",""programming""]","[""ugly""]",false,Fitz Scrivenor,Chu Chin Chow,Erases frugally defamation's exterminates fiancé nibbled gander glossaries mop's purse's fen leeches Maximizes rosemary's propulsion layer's trainer's rainforest forfeited sorcery prohibitively frequently classical's coaxes swarming gawking,"[""http://""techcrunch.com""]"
10,9,"[""music""]","[""ugly""]",false,Anallise Gebhardt,"Go, Go Second Time Virgin (Yuke yuke nidome no shojo)",Hungrier junky patchwork Prop elastics formal's pocketbook's shrinks debunk counted hunter's promulgating steamroller's meanwhile heralded classical pervaded choosy blameless procured acknowledge Relaying practically lair's neuter hostelled straightest animosity luncheons sky east's resignations innards norm's sand,"[""http://""techcrunch.com""]"
